t,,h
1.30965,,0.362112
1.31316,,-1.57126
1.31666,,15.5029
1.32016,,0.203652
1.32366,,-0.886806
1.32716,,0.473719
1.33067,,9.34
1.33417,,0.801417
1.33767,,15.7507
1.34117,,11.6093
1.34467,,8.05226
1.34817,,0.838152
1.35168,,16.6332
1.35518,,-2.88851
1.35868,,8.10045
1.36218,,21.6884
1.36568,,18.1865
1.36918,,7.67632
1.37269,,16.6945
1.37619,,20.6691
1.37969,,17.5131
1.38319,,30.4769
1.38669,,11.9414
1.3902,,19.3387
1.3937,,12.9241
1.3972,,5.04343
1.4007,,4.58624
1.4042,,-1.95849
1.4077,,2.176
1.41121,,-5.52946
1.41471,,9.24298
1.41821,,0.16311
1.42171,,6.6936
1.42521,,2.8319
1.42871,,-11.0424
1.43222,,5.53698
1.43572,,18.5176
1.43922,,11.2439
1.44272,,16.6917
1.44622,,11.5076
1.44972,,21.1743
1.45323,,-2.88266
1.45673,,19.409
1.46023,,-14.5652
1.46373,,29.1351
1.46723,,3.98675
1.47074,,38.9565
1.47424,,2.96147
1.47774,,-12.1072
1.48124,,20.8222
1.48474,,13.6846
1.48824,,31.758
1.49175,,14.8389
1.49525,,-0.339559
1.49875,,-7.52128
1.50225,,-2.89904
1.50575,,25.5146
1.50925,,30.6707
1.51276,,13.3423
1.51626,,12.2137
1.51976,,-5.15432
1.52326,,3.62644
1.52676,,6.19813
1.53027,,5.76598
1.53377,,1.94345
1.53727,,-1.73224
1.54077,,11.4154
1.54427,,14.0014
1.54777,,2.15408
1.55128,,2.0256
1.55478,,-2.84254
1.55828,,-0.342554
1.56178,,0.839833
1.56528,,5.02716
1.56878,,6.9079
1.57229,,10.8091
1.57579,,6.74619
1.57929,,5.87533
1.58279,,-0.681145
1.58629,,-1.85712
1.58979,,-7.75573
1.5933,,-1.57551
1.5968,,-13.1442
1.6003,,2.91836
1.6038,,-5.01717
1.6073,,-16.7866
1.61081,,-8.85192
1.61431,,-10.9622
1.61781,,2.29007
1.62131,,-18.8029
1.62481,,-15.5379
1.62831,,-6.72373
1.63182,,-14.0772
1.63532,,-13.8509
1.63882,,-15.6127
1.64232,,-6.22856
1.64582,,-26.6107
1.64932,,-17.248
1.65283,,-0.19173
1.65633,,13.0618
1.65983,,-5.56405
1.66333,,-3.91852
1.66683,,-12.0349
1.67034,,-11.0979
1.67384,,-37.8328
1.67734,,-30.6425
1.68084,,-18.7097
1.68434,,-9.87509
1.68784,,-16.5611
1.69135,,-20.1599
1.69485,,-17.4871
1.69835,,-30.1997
1.70185,,-10.8671
1.70535,,-20.4928
1.70885,,-1.96031
1.71236,,-14.1256
1.71586,,-9.85148
1.71936,,-23.8961
1.72286,,-37.7775
1.72636,,-19.7087
1.72986,,-17.2673
1.73337,,-0.0978931
1.73687,,15.4996
1.74037,,-19.4543
1.74387,,-19.3697
1.74737,,-16.0511
1.75088,,1.88979
1.75438,,-13.2203
1.75788,,0.795484
1.76138,,-21.8913
1.76488,,-6.61791
1.76838,,-16.7953
1.77189,,-22.8379
1.77539,,5.5618
1.77889,,-25.6782
1.78239,,-19.6976
1.78589,,-34.7296
1.78939,,-17.617
1.7929,,-34.8166
1.7964,,-0.418745
1.7999,,-33.6803
1.8034,,6.60274
1.8069,,-21.7539
1.81041,,-4.13498
1.81391,,-9.31653
1.81741,,-5.50456
1.82091,,-5.82903
1.82441,,-23.3744
1.82791,,-0.870292
1.83142,,-5.20378
1.83492,,-4.28154
1.83842,,-2.00693
1.84192,,-15.8345
1.84542,,-4.23277
1.84892,,-14.5529
1.85243,,2.01893
1.85593,,0.147584
1.85943,,-10.3075
1.86293,,5.44857
1.86643,,8.97258
1.86993,,-3.44571
1.87344,,-6.00448
1.87694,,-9.46208
1.88044,,2.2612
1.88394,,5.87818
1.88744,,-1.6683
1.89095,,-1.83286
1.89445,,2.32889
1.89795,,-2.54013
1.90145,,6.87584
1.90495,,-2.84386
1.90845,,17.8604
1.91196,,1.94219
1.91546,,7.97837
1.91896,,5.14716
1.92246,,17.9641
1.92596,,21.02
1.92946,,6.82527
1.93297,,13.1935
1.93647,,-8.42705
1.93997,,15.6257
1.94347,,39.4525
1.94697,,-0.675552
1.95048,,-4.24228
1.95398,,32.5359
1.95748,,12.1427
1.96098,,3.72647
1.96448,,32.4888
1.96798,,5.97057
1.97149,,21.1798
1.97499,,-9.65195
1.97849,,7.25639
1.98199,,5.22349
1.98549,,37.9986
1.98899,,0.963288
1.9925,,26.3019
1.996,,-2.84799
1.9995,,34.1639
2.003,,24.7695
2.0065,,11.2019
2.01001,,13.8675
2.01351,,37.7125
2.01701,,-10.3783
2.02051,,27.7409
2.02401,,-29.2008
2.02751,,39.2293
2.03102,,6.39058
2.03452,,31.523
2.03802,,35.0186
2.04152,,13.5156
2.04502,,17.7669
2.04852,,-15.5677
2.05203,,29.3968
2.05553,,22.1907
2.05903,,5.50583
2.06253,,26.023
2.06603,,20.0522
2.06953,,21.096
2.07304,,-4.34232
2.07654,,29.1266
2.08004,,26.967
2.08354,,34.5953
2.08704,,-4.08681
2.09055,,37.7559
2.09405,,1.83204
2.09755,,26.9151
2.10105,,22.3094
2.10455,,36.7922
2.10805,,29.1173
2.11156,,42.7322
2.11506,,-0.674791
2.11856,,-8.69732
2.12206,,28.383
2.12556,,38.9663
2.12906,,-22.5641
2.13257,,25.5165
2.13607,,-5.30263
2.13957,,-6.83229
2.14307,,6.23665
2.14657,,0.587836
2.15008,,24.9626
2.15358,,32.1237
2.15708,,-4.44198
2.16058,,0.591427
2.16408,,10.7925
2.16758,,8.0155
2.17109,,8.12825
2.17459,,-5.51508
2.17809,,-0.0745138
2.18159,,9.15239
2.18509,,2.14504
2.18859,,14.7687
2.1921,,18.4185
2.1956,,-1.91211
2.1991,,0.174773
2.2026,,-2.35124
2.2061,,3.06635
2.2096,,-4.03555
2.21311,,7.92302
2.21661,,-9.20286
2.22011,,-15.9855
2.22361,,-1.57464
2.22711,,2.40905
2.23062,,-19.0655
2.23412,,-3.4668
2.23762,,-19.0052
2.24112,,-7.81436
2.24462,,-23.3447
2.24812,,-9.1952
2.25163,,-22.6292
2.25513,,-25.5093
2.25863,,-13.457
2.26213,,-18.0894
2.26563,,-22.5121
2.26913,,-33.1044
2.27264,,-5.78061
2.27614,,-41.1321
2.27964,,-7.78066
2.28314,,-17.366
2.28664,,6.58284
2.29015,,-36.8551
2.29365,,-5.41257
2.29715,,13.7924
2.30065,,-44.1529
2.30415,,-24.1686
2.30765,,2.06221
2.31116,,-30.0988
2.31466,,-39.7115
2.31816,,-24.5925
2.32166,,-20.4323
2.32516,,-33.172
2.32866,,18.5008
2.33217,,6.22862
2.33567,,27.2576
2.33917,,-14.0364
2.34267,,-28.3318
2.34617,,-30.2018
2.34967,,-59.6798
2.35318,,-20.0512
2.35668,,-92.3659
2.36018,,-33.494
2.36368,,-44.2254
2.36718,,-85.5462
2.37069,,-20.3488
2.37419,,30.8221
2.37769,,-39.602
2.38119,,-56.2009
2.38469,,-51.0428
2.38819,,-3.49474
2.3917,,-23.3236
2.3952,,-13.9095
2.3987,,-48.877
2.4022,,9.35748
2.4057,,-66.8662
2.4092,,-53.7509
2.41271,,-62.0067
2.41621,,21.5538
2.41971,,-39.4626
2.42321,,-27.7049
2.42671,,-77.6723
2.43022,,-43.1952
2.43372,,-24.9264
2.43722,,-5.01588
2.44072,,-15.3151
2.44422,,-14.4893
2.44772,,-2.40308
2.45123,,-15.3912
2.45473,,2.28272
2.45823,,-29.9617
2.46173,,-24.747
2.46523,,-9.86653
2.46873,,-20.5324
2.47224,,-12.3319
2.47574,,-33.2088
2.47924,,-6.23642
2.48274,,-14.9533
2.48624,,-13.2984
2.48974,,-18.1758
2.49325,,-19.5235
2.49675,,-14.9303
